[session 0 finished] 10:01:46;	 mean reward = 0.2192;	 mean loss = 0.3341;	 total reward = 78.9045;	 epsilon = 0.9900
[session 1 finished] 10:01:50;	 mean reward = 0.2244;	 mean loss = 0.3332;	 total reward = 50.7229;	 epsilon = 1.0000
[session 2 finished] 10:01:50;	 mean reward = 3.4680;	 mean loss = 9.5838;	 total reward = 6.9360;	 epsilon = 1.0000
[session 3 finished] 10:01:59;	 mean reward = 0.2152;	 mean loss = 0.1511;	 total reward = 77.4848;	 epsilon = 0.9998
[session 4 finished] 10:02:08;	 mean reward = 0.2112;	 mean loss = 0.1402;	 total reward = 76.0459;	 epsilon = 0.9998
[session 5 finished] 10:02:11;	 mean reward = 0.2911;	 mean loss = 0.3620;	 total reward = 49.2024;	 epsilon = 0.9996
[session 6 finished] 10:02:12;	 mean reward = 0.4064;	 mean loss = 0.6847;	 total reward = 19.0994;	 epsilon = 0.9996
[session 7 finished] 10:02:22;	 mean reward = 0.2387;	 mean loss = 0.1280;	 total reward = 85.9357;	 epsilon = 0.9994
[session 8 finished] 10:02:26;	 mean reward = 0.2616;	 mean loss = 0.2438;	 total reward = 58.6093;	 epsilon = 0.9994
[session 9 finished] 10:02:34;	 mean reward = 0.1918;	 mean loss = 0.1419;	 total reward = 68.8733;	 epsilon = 0.9992
[session 10 finished] 10:02:35;	 mean reward = 0.2961;	 mean loss = 0.4503;	 total reward = 20.1320;	 epsilon = 0.9992
[session 11 finished] 10:02:35;	 mean reward = 1.2661;	 mean loss = 3.0473;	 total reward = 11.3950;	 epsilon = 0.9990
[session 12 finished] 10:02:37;	 mean reward = 0.3737;	 mean loss = 0.3726;	 total reward = 33.6351;	 epsilon = 0.9990
[session 13 finished] 10:02:44;	 mean reward = 0.1951;	 mean loss = 0.0927;	 total reward = 70.2539;	 epsilon = 0.9988
[session 14 finished] 10:02:52;	 mean reward = 0.1948;	 mean loss = 0.0792;	 total reward = 70.1181;	 epsilon = 0.9988
[session 15 finished] 10:03:00;	 mean reward = 0.2279;	 mean loss = 0.0936;	 total reward = 82.0496;	 epsilon = 0.9986
[session 16 finished] 10:03:09;	 mean reward = 0.2136;	 mean loss = 0.0975;	 total reward = 76.8927;	 epsilon = 0.9986
[session 17 finished] 10:03:15;	 mean reward = 0.2130;	 mean loss = 0.1957;	 total reward = 66.8749;	 epsilon = 0.9984
[session 18 finished] 10:03:19;	 mean reward = 0.2627;	 mean loss = 0.2274;	 total reward = 50.1717;	 epsilon = 0.9984
[session 19 finished] 10:03:27;	 mean reward = 0.2191;	 mean loss = 0.0805;	 total reward = 78.8776;	 epsilon = 0.9982
[session 20 finished] 10:03:32;	 mean reward = 0.2496;	 mean loss = 0.2031;	 total reward = 62.1621;	 epsilon = 0.9982
[session 21 finished] 10:03:37;	 mean reward = 0.2658;	 mean loss = 0.2023;	 total reward = 58.2164;	 epsilon = 0.9980
[session 22 finished] 10:03:38;	 mean reward = 0.2711;	 mean loss = 0.3316;	 total reward = 23.8554;	 epsilon = 0.9980
[session 23 finished] 10:03:46;	 mean reward = 0.2162;	 mean loss = 0.0747;	 total reward = 77.8287;	 epsilon = 0.9978
[session 24 finished] 10:03:53;	 mean reward = 0.2025;	 mean loss = 0.0822;	 total reward = 72.9164;	 epsilon = 0.9978
[session 25 finished] 10:04:01;	 mean reward = 0.2007;	 mean loss = 0.0782;	 total reward = 72.2374;	 epsilon = 0.9976
[session 26 finished] 10:04:04;	 mean reward = 0.2558;	 mean loss = 0.2313;	 total reward = 40.4091;	 epsilon = 0.9976
[session 27 finished] 10:04:09;	 mean reward = 0.2529;	 mean loss = 0.2151;	 total reward = 55.1253;	 epsilon = 0.9974
[session 28 finished] 10:04:11;	 mean reward = 0.2861;	 mean loss = 0.2520;	 total reward = 42.9103;	 epsilon = 0.9974
[session 29 finished] 10:04:12;	 mean reward = 0.6283;	 mean loss = 2.0110;	 total reward = 6.9118;	 epsilon = 0.9972
[session 30 finished] 10:04:12;	 mean reward = 0.7495;	 mean loss = 1.5245;	 total reward = 12.7419;	 epsilon = 0.9972
[session 31 finished] 10:04:12;	 mean reward = 0.9815;	 mean loss = 2.3421;	 total reward = 9.8147;	 epsilon = 0.9970
[session 32 finished] 10:04:13;	 mean reward = 0.6096;	 mean loss = 1.1420;	 total reward = 13.4120;	 epsilon = 0.9970
[session 33 finished] 10:04:20;	 mean reward = 0.2292;	 mean loss = 0.1042;	 total reward = 82.5158;	 epsilon = 0.9968
[session 34 finished] 10:04:22;	 mean reward = 0.2811;	 mean loss = 0.3300;	 total reward = 29.7984;	 epsilon = 0.9968
[session 35 finished] 10:04:30;	 mean reward = 0.2099;	 mean loss = 0.0919;	 total reward = 75.5663;	 epsilon = 0.9966
[session 36 finished] 10:04:38;	 mean reward = 0.2022;	 mean loss = 0.0815;	 total reward = 72.7921;	 epsilon = 0.9966
[session 37 finished] 10:04:42;	 mean reward = 0.2742;	 mean loss = 0.2318;	 total reward = 54.2874;	 epsilon = 0.9964
[session 38 finished] 10:04:43;	 mean reward = 0.4185;	 mean loss = 0.6154;	 total reward = 21.3414;	 epsilon = 0.9964
[session 39 finished] 10:04:51;	 mean reward = 0.2314;	 mean loss = 0.0944;	 total reward = 83.3210;	 epsilon = 0.9962
[session 40 finished] 10:04:58;	 mean reward = 0.2459;	 mean loss = 0.1600;	 total reward = 87.5474;	 epsilon = 0.9962
[session 41 finished] 10:05:06;	 mean reward = 0.2142;	 mean loss = 0.1008;	 total reward = 77.1043;	 epsilon = 0.9960
[session 42 finished] 10:05:08;	 mean reward = 0.3301;	 mean loss = 0.2885;	 total reward = 43.8986;	 epsilon = 0.9960
[session 43 finished] 10:05:10;	 mean reward = 0.3215;	 mean loss = 0.3982;	 total reward = 26.0403;	 epsilon = 0.9958
[session 44 finished] 10:05:18;	 mean reward = 0.2135;	 mean loss = 0.0798;	 total reward = 76.8619;	 epsilon = 0.9958
[session 45 finished] 10:05:26;	 mean reward = 0.2040;	 mean loss = 0.0896;	 total reward = 73.4573;	 epsilon = 0.9956
[session 46 finished] 10:05:33;	 mean reward = 0.2072;	 mean loss = 0.0827;	 total reward = 74.5983;	 epsilon = 0.9956
[session 47 finished] 10:05:37;	 mean reward = 0.2674;	 mean loss = 0.2355;	 total reward = 42.5105;	 epsilon = 0.9954
[session 48 finished] 10:05:37;	 mean reward = 0.5982;	 mean loss = 1.5067;	 total reward = 9.5719;	 epsilon = 0.9954
[session 49 finished] 10:05:39;	 mean reward = 0.3589;	 mean loss = 0.3285;	 total reward = 33.3772;	 epsilon = 0.9952
[session 50 finished] 10:05:42;	 mean reward = 0.2716;	 mean loss = 0.2369;	 total reward = 52.4280;	 epsilon = 0.9952
[session 51 finished] 10:05:51;	 mean reward = 0.2282;	 mean loss = 0.1007;	 total reward = 82.1453;	 epsilon = 0.9950
[session 52 finished] 10:05:51;	 mean reward = 0.9812;	 mean loss = 2.3615;	 total reward = 10.7934;	 epsilon = 0.9950
[session 53 finished] 10:05:58;	 mean reward = 0.2462;	 mean loss = 0.1089;	 total reward = 88.6239;	 epsilon = 0.9948
[session 54 finished] 10:05:58;	 mean reward = 0.4856;	 mean loss = 0.9663;	 total reward = 13.5962;	 epsilon = 0.9948
[session 55 finished] 10:06:06;	 mean reward = 0.2376;	 mean loss = 0.1058;	 total reward = 85.5294;	 epsilon = 0.9946
